,Entry,CHW Flowrate,CHWRT,CHWST,Chilled Water Request,OA Humidity,OA Temperature,Apparent Power,3rd Floor AHU-1|SA Airflow,3rd Floor AHU-2|SA Airflow,3rd Floor AHU-3|SA Airflow,3rd Floor AHU-7|SA Airflow,3rd Floor AHU-8|SA Airflow,Level 2 AHU-4|SA Airflow,Level 2 AHU-5|SA Airflow,Roof AHU-10|SA Airflow,Roof AHU-11|SA Airflow,Roof AHU-12|SA Airflow,Roof AHU-9|SA Airflow,3rd Floor AHU-1|RA Humidity,3rd Floor AHU-2|RA Humidity,3rd Floor AHU-3|RA Humidity,3rd Floor AHU-7|RA Humidity,3rd Floor AHU-8|RA Humidity,Level 2 AHU-4|RA Humidity,Level 2 AHU-5|RA Humidity,Roof AHU-10|RA Humidity,Roof AHU-11|RA Humidity,Roof AHU-12|RA Humidity,Roof AHU-9|RA Humidity,Run Time
845,845,7.642408848,55.25852203,45.29999924,0,50.50782776,77.27693939,634526,4567.375,3191.865479,5329.063477,1231.550659,20509.70508,3938.641357,4009.360596,18629.38086,21733.91406,24971.95898,20542.41797,44.33808517,44.48487473,46.80186081,38.90610504,49.29523468,49.48559952,64.1218338,45.00895691,47.3875351,45.65444565,45.93099594,0
846,846,11.31160259,55.20857239,45.29999924,1,50.14199066,77.30213165,639599,4571.570801,3186.503174,5323.409668,1224.921387,20478.14844,3919.263672,4001.816162,18585.37305,21805.28906,24983.69141,20646.78711,44.31541824,44.43899155,46.76060486,38.02153015,49.27308273,49.62942505,64.04023743,45.19926453,47.34127045,45.25269699,45.85755539,1
847,847,14.98079681,55.11710358,45.29999924,1,50.14498901,77.30599976,644671,4576.461914,3194.706787,5318.16748,1204.888306,20334.95117,3892.555908,3981.933594,18689.49609,21797.72656,25052.42383,20782.26563,44.29275131,44.39098358,46.82658768,38.43652725,49.24308395,49.89745331,63.9902153,45.65129089,47.28526306,44.73263931,45.77951813,2
848,848,18.97906685,55.05851364,45.13405991,1,50.14798737,77.30599976,631384,4581.353516,3202.994873,5312.924805,1184.855347,20191.75195,3865.848145,3962.050781,18793.61914,21790.16602,25121.15625,20917.74414,44.27008438,44.34297562,46.89257431,38.85152817,49.21308517,50.16548157,63.94018936,46.10332108,47.22925568,44.21257782,45.70147705,3
849,849,11.03416824,55.00847626,44.93391037,1,50.15098953,77.30599976,617991,4586.244629,3196.568848,5307.682617,1164.822388,20048.55469,3839.140381,3942.168213,18897.74219,21782.60547,25189.88867,21053.22266,44.24741745,44.29496384,46.95855713,39.26652527,49.18308258,50.43350983,63.89016724,46.55534744,47.17324829,43.69251633,45.62343597,4
850,850,7.518067837,54.95850372,44.77550888,0,50.15398788,77.30599976,604598,4591.13623,3190.080078,5302.44043,1144.789307,19905.35547,3812.432373,3922.285645,19001.86328,21775.04297,25258.62109,21188.70117,44.22475052,44.24695587,47.02454376,39.68152237,49.1530838,50.70153809,63.8401413,47.00737381,47.11724091,43.17245865,45.54539871,0
851,851,4.021214962,54.90854263,44.62561798,0,50.15699005,77.30599976,591206,4600.292969,3195.386475,5297.197754,1138.481323,19858.99023,3822.879395,3917.885498,19093.38672,21737.75,25267.84961,21275.64063,44.20208359,44.20154953,47.03501892,40.09651947,49.11632156,50.94548416,63.7662468,47.17446136,47.05610657,43.24884033,45.48595428,0
852,852,4,54.81716537,46.09100342,0,50.1599884,77.37856293,594671,4610.32666,3200.747803,5291.955566,1136.835205,19887.52734,3843.821045,3934.104248,19162.79297,21644.29492,25155.24219,21283.38086,44.17941666,44.15756607,46.98101807,40.51152039,49.07432556,51.15952682,63.6762619,47.08847427,46.99011612,43.93291092,45.44195175,0
853,853,4,54.88298416,46.3170166,0,50.16299057,77.4643631,626457,4620.360352,3199.317139,5286.713379,1135.189209,19916.06445,3864.762695,3950.322998,19232.19922,21550.8418,25042.63281,21291.12109,44.15674973,44.11358261,46.92702103,40.92651749,49.03232956,51.37356949,63.58627701,47.002491,46.92412949,44.61697769,45.39794922,0
854,854,4,54.9830246,46.21697617,0,50.16598892,77.55016327,609037,4630.394043,3197.858398,5281.470703,1133.543091,19944.60156,3885.70459,3966.541748,19301.60352,21457.38672,24930.02539,21298.86133,44.13408279,44.06959915,46.87302017,41.34151459,48.99033356,51.58761215,63.4962883,46.91650391,46.85813904,45.30104828,45.35394287,0
